creditCode,currentCreditCode,listingId,priceForSale,priceForSaleRate,testDate,nextRepayDate,pastDueDay,pastDueNumber,valuation,rateMaxMultiples,rateMinMultiples,currentDueDay,currentRate,isPay,leftRepayDay,allowanceRadio,number,owingInterest,owingNumber,owingPrincipal,preDebtdealId,preDebtDealId,vouch,maxRate,minRate,defaultPriceforsale
B,C,128946589.0,42.01,20.0,11/19/2018,11/20/2018 11:17,0.0,0.0,1.0027,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,128947834.0,33.61,20.0,11/19/2018,11/20/2018 11:32,0.0,0.0,1.0093,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,3.0,0.85,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,128952166.0,33.61,20.0,11/19/2018,11/20/2018 11:56,0.0,0.0,1.0036,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,3.0,0.84,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125597163.0,33.89,20.0,11/19/2018,11/20/2018 13:32,0.0,0.0,1.0182,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,D,128968007.0,42.0,20.0,11/19/2018,11/20/2018 13:48,1.0,1.0,0.988,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
B,C,128970626.0,42.01,20.0,11/19/2018,11/20/2018 14:06,0.0,0.0,0.9867,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,128971632.0,42.01,20.0,11/19/2018,11/20/2018 14:11,0.0,0.0,1.0106,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125603237.0,33.89,20.0,11/19/2018,11/20/2018 14:23,0.0,0.0,1.0061,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,128977081.0,42.0,20.0,11/19/2018,11/20/2018 14:46,0.0,0.0,1.0227,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
B,B,125606185.0,33.89,20.0,11/19/2018,11/20/2018 14:47,0.0,0.0,1.0238,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125608466.0,33.89,20.0,11/19/2018,11/20/2018 15:05,0.0,0.0,1.0118,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125608846.0,33.89,20.0,11/19/2018,11/20/2018 15:19,0.0,0.0,0.9888,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125609712.0,33.89,20.0,11/19/2018,11/20/2018 15:21,1.0,1.0,1.0118,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125613404.0,33.89,20.0,11/19/2018,11/20/2018 16:15,0.0,0.0,1.0238,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129000244.0,33.61,20.0,11/19/2018,11/20/2018 17:29,0.0,0.0,1.0036,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,3.0,0.84,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125646367.0,33.89,20.0,11/19/2018,11/20/2018 22:11,0.0,0.0,0.9994,2.0,1.0,-1.0,20.0,0.0,1.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125673740.0,33.89,20.0,11/19/2018,11/21/2018 9:41,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125675899.0,33.89,20.0,11/19/2018,11/21/2018 9:59,0.0,0.0,1.0171,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129084634.0,42.01,20.0,11/19/2018,11/21/2018 11:47,0.0,0.0,1.0167,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.13,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125684834.0,33.89,20.0,11/19/2018,11/21/2018 12:16,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125692390.0,33.89,20.0,11/19/2018,11/21/2018 12:18,1.0,1.0,1.0235,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125681827.0,33.89,20.0,11/19/2018,11/21/2018 12:22,0.0,0.0,1.0068,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125693302.0,33.89,20.0,11/19/2018,11/21/2018 12:28,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125693439.0,33.89,20.0,11/19/2018,11/21/2018 12:28,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125694257.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,1.0121,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125694935.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695004.0,33.89,20.0,11/19/2018,11/21/2018 12:39,0.0,0.0,0.9839,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125694212.0,33.89,20.0,11/19/2018,11/21/2018 12:40,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695195.0,33.89,20.0,11/19/2018,11/21/2018 12:40,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695295.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125693100.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125695541.0,33.89,20.0,11/19/2018,11/21/2018 12:44,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125696344.0,33.89,20.0,11/19/2018,11/21/2018 12:52,0.0,0.0,0.7925,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125697715.0,33.89,20.0,11/19/2018,11/21/2018 13:03,0.0,0.0,0.9809,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125697765.0,33.89,20.0,11/19/2018,11/21/2018 13:05,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125698067.0,33.89,20.0,11/19/2018,11/21/2018 13:09,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125698815.0,33.89,20.0,11/19/2018,11/21/2018 13:15,0.0,0.0,0.9839,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125699551.0,33.89,20.0,11/19/2018,11/21/2018 13:21,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125699223.0,33.89,20.0,11/19/2018,11/21/2018 13:21,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125699690.0,33.89,20.0,11/19/2018,11/21/2018 13:23,2.0,1.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125700406.0,33.89,20.0,11/19/2018,11/21/2018 13:32,0.0,0.0,1.0171,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,E,125701416.0,33.89,20.0,11/19/2018,11/21/2018 13:40,0.0,0.0,0.9701,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129097806.0,42.01,20.0,11/19/2018,11/21/2018 13:40,0.0,0.0,1.0037,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125704466.0,33.89,20.0,11/19/2018,11/21/2018 14:13,0.0,0.0,1.0058,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129084089.0,42.0,20.0,11/19/2018,11/21/2018 14:13,0.0,0.0,1.0037,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
B,C,125704706.0,33.89,20.0,11/19/2018,11/21/2018 14:19,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125706369.0,33.89,20.0,11/19/2018,11/21/2018 14:26,0.0,0.0,1.0069,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125706836.0,33.89,20.0,11/19/2018,11/21/2018 14:29,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125708126.0,33.89,20.0,11/19/2018,11/21/2018 14:41,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
C,E,129107904.0,42.07,24.0,11/19/2018,11/21/2018 14:42,2.0,1.0,1.0026,2.0,1.0,-2.0,24.0,0.0,2.0,0.0,6.0,2.56,5.0,42.07,0.0,0.0,0.0,48.0,24.0,
B,C,125708883.0,33.89,20.0,11/19/2018,11/21/2018 14:47,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125709797.0,33.89,20.0,11/19/2018,11/21/2018 14:53,1.0,1.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125709709.0,33.89,20.0,11/19/2018,11/21/2018 14:54,0.0,0.0,1.0048,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125711159.0,33.89,20.0,11/19/2018,11/21/2018 15:05,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125710973.0,33.89,20.0,11/19/2018,11/21/2018 15:05,0.0,0.0,1.0058,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125711832.0,33.89,20.0,11/19/2018,11/21/2018 15:11,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125713378.0,33.89,20.0,11/19/2018,11/21/2018 15:26,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125714075.0,33.89,20.0,11/19/2018,11/21/2018 15:29,0.0,0.0,0.9607,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125713772.0,33.89,20.0,11/19/2018,11/21/2018 15:36,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125716159.0,33.89,20.0,11/19/2018,11/21/2018 15:43,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125716282.0,33.89,20.0,11/19/2018,11/21/2018 15:43,1.0,1.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125716321.0,33.89,20.0,11/19/2018,11/21/2018 15:45,0.0,0.0,1.0069,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129118639.0,42.01,20.0,11/19/2018,11/21/2018 15:47,0.0,0.0,1.0057,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125714932.0,33.89,20.0,11/19/2018,11/21/2018 15:51,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129119803.0,42.01,20.0,11/19/2018,11/21/2018 15:53,0.0,0.0,1.0216,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125716404.0,33.89,20.0,11/19/2018,11/21/2018 15:59,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125715809.0,33.89,20.0,11/19/2018,11/21/2018 16:24,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125722879.0,33.89,20.0,11/19/2018,11/21/2018 16:39,0.0,0.0,0.9162,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125715483.0,33.89,20.0,11/19/2018,11/21/2018 16:43,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129126300.0,42.01,20.0,11/19/2018,11/21/2018 16:44,0.0,0.0,0.993,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,B,129127672.0,42.01,20.0,11/19/2018,11/21/2018 16:53,0.0,0.0,1.0161,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125725779.0,33.89,20.0,11/19/2018,11/21/2018 16:59,0.0,0.0,0.9992,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125735733.0,33.89,20.0,11/19/2018,11/21/2018 18:41,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125736707.0,33.89,20.0,11/19/2018,11/21/2018 18:50,0.0,0.0,1.0115,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125738771.0,33.89,20.0,11/19/2018,11/21/2018 19:15,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125740228.0,33.89,20.0,11/19/2018,11/21/2018 19:29,0.0,0.0,1.0235,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125742995.0,33.89,20.0,11/19/2018,11/21/2018 20:05,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,F,125743104.0,33.89,20.0,11/19/2018,11/21/2018 20:07,0.0,0.0,1.0122,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125746480.0,33.89,20.0,11/19/2018,11/21/2018 20:52,0.0,0.0,1.0179,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125748272.0,33.89,20.0,11/19/2018,11/21/2018 21:17,0.0,0.0,1.0170000000000001,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125745142.0,33.89,20.0,11/19/2018,11/21/2018 21:20,0.0,0.0,0.9885,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125751810.0,33.89,20.0,11/19/2018,11/21/2018 22:11,0.0,0.0,1.0116,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125753290.0,33.89,20.0,11/19/2018,11/21/2018 22:34,0.0,0.0,0.998,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,D,125753355.0,33.89,20.0,11/19/2018,11/21/2018 22:40,0.0,0.0,0.97,2.0,1.0,-2.0,20.0,0.0,2.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
C,G,129172610.0,42.08,24.0,11/19/2018,11/22/2018 3:04,0.0,0.0,0.912,2.0,1.0,-3.0,24.0,0.0,3.0,0.0,6.0,2.56,5.0,42.08,0.0,0.0,0.0,48.0,24.0,
B,C,129181661.0,33.61,20.0,11/19/2018,11/22/2018 8:14,0.0,0.0,1.0079,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,3.0,0.85,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125775079.0,33.89,20.0,11/19/2018,11/22/2018 8:56,0.0,0.0,1.0066,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125774490.0,33.89,20.0,11/19/2018,11/22/2018 9:01,0.0,0.0,1.0113,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125775936.0,33.89,20.0,11/19/2018,11/22/2018 9:05,0.0,0.0,1.0056,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129186505.0,42.01,20.0,11/19/2018,11/22/2018 9:05,0.0,0.0,1.0022,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,2.13,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125775750.0,33.89,20.0,11/19/2018,11/22/2018 9:06,0.0,0.0,1.0177,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125776917.0,33.89,20.0,11/19/2018,11/22/2018 9:14,0.0,0.0,0.9989,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129187473.0,33.61,20.0,11/19/2018,11/22/2018 9:14,0.0,0.0,1.0143,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,3.0,0.84,2.0,33.61,0.0,0.0,0.0,40.0,20.0,
B,C,125776653.0,33.89,20.0,11/19/2018,11/22/2018 9:16,0.0,0.0,0.9807,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129187994.0,42.01,20.0,11/19/2018,11/22/2018 9:17,0.0,0.0,0.9881,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,2.12,5.0,42.01,0.0,0.0,0.0,40.0,20.0,
B,C,125776440.0,33.89,20.0,11/19/2018,11/22/2018 9:22,0.0,0.0,1.0168,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
C,G,129186013.0,42.08,24.0,11/19/2018,11/22/2018 9:22,0.0,0.0,0.9946,2.0,1.0,-3.0,24.0,0.0,3.0,0.0,6.0,2.56,5.0,42.08,0.0,0.0,0.0,48.0,24.0,
B,C,125777565.0,33.89,20.0,11/19/2018,11/22/2018 9:23,0.0,0.0,1.0113,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125777836.0,33.89,20.0,11/19/2018,11/22/2018 9:23,0.0,0.0,1.0113,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125778449.0,33.89,20.0,11/19/2018,11/22/2018 9:28,0.0,0.0,0.9883,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125781661.0,33.89,20.0,11/19/2018,11/22/2018 9:53,0.0,0.0,1.0066,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,F,125780645.0,33.89,20.0,11/19/2018,11/22/2018 9:53,8.0,1.0,0.9861,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,125782387.0,33.89,20.0,11/19/2018,11/22/2018 10:00,0.0,0.0,1.0168,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,B,125784809.0,33.89,20.0,11/19/2018,11/22/2018 10:20,0.0,0.0,1.0177,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,1.41,4.0,33.89,0.0,0.0,0.0,40.0,20.0,
B,C,129196960.0,42.0,20.0,11/19/2018,11/22/2018 10:24,0.0,0.0,1.0101,2.0,1.0,-3.0,20.0,0.0,3.0,0.0,6.0,2.12,5.0,42.0,0.0,0.0,0.0,40.0,20.0,
